obrazek,uhel,corrAns,zpetnavazba,pauza
2D-225l.jpg,225,left,1,1
2D-090r.jpg,90,right,1,0
2D-270l.jpg,270,left,1,0
2D-225r.jpg,225,right,1,0
2D-315r.jpg,315,right,1,0
2D-045r.jpg,45,right,0,1
2D-225l.jpg,225,left,0,0
2D-135r.jpg,135,right,0,0
2D-225l.jpg,225,left,0,0
2D-315l.jpg,315,left,0,0
2D-225r.jpg,225,right,0,0
2D-180r.jpg,180,right,0,0
2D-045r.jpg,45,right,0,0
2D-090l.jpg,90,left,0,0
2D-270r.jpg,270,right,0,0
2D-000r.jpg,0,right,0,0
2D-090r.jpg,90,right,0,0
2D-180r.jpg,180,right,0,0
2D-090r.jpg,90,right,0,0
2D-225l.jpg,225,left,0,0
2D-135l.jpg,135,left,0,0
2D-315r.jpg,315,right,0,0
2D-045l.jpg,45,left,0,0
2D-135r.jpg,135,right,0,0
2D-000l.jpg,0,left,0,0
2D-090r.jpg,90,right,0,0
2D-045l.jpg,45,left,0,0
2D-000l.jpg,0,left,0,0
2D-135l.jpg,135,left,0,0
2D-045r.jpg,45,right,0,0
2D-270l.jpg,270,left,0,0
2D-090r.jpg,90,right,0,0
2D-270l.jpg,270,left,0,0
2D-225l.jpg,225,left,0,0
2D-000r.jpg,0,right,0,0
2D-270r.jpg,270,right,0,0
2D-000l.jpg,0,left,0,0
2D-180l.jpg,180,left,0,1
2D-135l.jpg,135,left,0,0
2D-180r.jpg,180,right,0,0
2D-090l.jpg,90,left,0,0
2D-225r.jpg,225,right,0,0
2D-090l.jpg,90,left,0,0
2D-180l.jpg,180,left,0,0
2D-225r.jpg,225,right,0,0
2D-180l.jpg,180,left,0,0
2D-045r.jpg,45,right,0,0
2D-225r.jpg,225,right,0,0
2D-135r.jpg,135,right,0,0
2D-270r.jpg,270,right,0,0
2D-315l.jpg,315,left,0,0
2D-000r.jpg,0,right,0,0
2D-315l.jpg,315,left,0,0
2D-180r.jpg,180,right,0,0
2D-315l.jpg,315,left,0,0
2D-000l.jpg,0,left,0,0
2D-045l.jpg,45,left,0,0
2D-315r.jpg,315,right,0,0
2D-180l.jpg,180,left,0,0
2D-045l.jpg,45,left,0,0
2D-315r.jpg,315,right,0,0
2D-270r.jpg,270,right,0,0
2D-090l.jpg,90,left,0,0
2D-315r.jpg,315,right,0,0
2D-270l.jpg,270,left,0,0
2D-135l.jpg,135,left,0,0
2D-270l.jpg,270,left,0,0
2D-135r.jpg,135,right,0,0
2D-000r.jpg,0,right,0,0
