obrazek,podle,corrans,zpetnavazba,pauza,opakovani
AnE3D2rWa.png,vy,right,0,0,2
AE2D1lRb.png,vy,left,0,0,2
AnE3D1rRb.png,vy,left,0,0,2
AnE3D2rWb.png,vy,left,0,0,2
AE2D1rRb.png,vy,right,0,0,2
AE2D2lWb.png,vy,left,0,0,2
AnE3D1lWb.png,vy,right,0,0,2
AE2D2lRa.png,vy,left,0,0,2
AE2D1lWa.png,vy,left,0,0,2
AE2D1lWb.png,vy,left,0,0,2
AE2D1lWa.png,znacka,left,0,1,2
AE2D1lRa.png,znacka,left,0,0,2
AE2D1rRa.png,znacka,right,0,0,2
AnE3D2lWb.png,znacka,left,0,0,2
AnE3D1lWb.png,znacka,left,0,0,2
AnE3D2lRb.png,znacka,left,0,0,2
AnE3D2lRa.png,znacka,right,0,0,2
AE2D1lWb.png,znacka,left,0,0,2
AE2D1rWa.png,znacka,right,0,0,2
AE2D2rRa.png,znacka,right,0,0,2
AnE3D1rWa.png,znacka,left,0,0,2
AnE3D2rWb.png,znacka,right,0,0,2
AnE3D1lRa.png,znacka,right,0,0,2
AE2D2rWb.png,znacka,right,0,0,2
AE2D1rWb.png,znacka,right,0,0,2
AE2D2lRa.png,znacka,left,0,0,2
AE2D2rRb.png,cervena,left,0,1,2
AnE3D1lWa.png,cervena,right,0,0,2
AE2D1lRb.png,cervena,right,0,0,2
AnE3D2lWa.png,cervena,right,0,0,2
AnE3D2lRa.png,cervena,left,0,0,2
AnE3D2rRb.png,cervena,left,0,0,2
AnE3D2rWa.png,cervena,left,0,0,2
AE2D1rRb.png,cervena,left,0,0,2
AnE3D1lRb.png,cervena,right,0,0,2
AE2D2rWb.png,cervena,right,0,0,2
AnE3D1rRb.png,cervena,left,0,0,2
AnE3D2lRb.png,cervena,right,0,0,2
AE2D2lRb.png,cervena,right,0,0,2
AnE3D2rWb.png,cervena,right,0,0,2
AnE3D2rRa.png,cervena,right,0,0,2
AE2D1lRa.png,cervena,right,0,0,2
AE2D1rWa.png,vy,right,0,1,3
AE2D2rWa.png,vy,right,0,0,3
AE2D1rRb.png,vy,right,0,0,3
AE2D1rWb.png,vy,right,0,0,3
AE2D2rWb.png,vy,right,0,0,3
AnE3D2lWb.png,vy,right,0,0,3
AnE3D1rRa.png,vy,right,0,0,3
AnE3D2lRa.png,vy,left,0,0,3
AnE3D1lWa.png,vy,left,0,0,3
AnE3D2rRb.png,vy,left,0,0,3
