doleva,corrans,sipkaframu,nahore,pauza,blok,no,no2
1,left,0,1,0,0,122,196
1,left,0,0,0,0,125,197
1,left,0,0,0,0,126,198
0,right,0,1,0,0,128,199
0,right,0,0,0,0,130,200
1,left,0,0,0,0,137,201
1,left,0,1,0,0,138,202
1,left,0,1,0,0,139,203
0,right,0,1,0,0,140,204
0,right,2,0,0,0,176,205
0,right,0,0,0,0,143,205
1,left,0,0,0,0,145,206
0,right,0,0,0,0,146,207
1,left,0,0,0,0,148,208
0,right,0,1,0,0,152,209
0,right,0,1,0,0,153,210
0,right,0,1,0,0,156,211
1,left,0,1,0,0,157,212
1,left,0,1,0,0,158,213
0,right,0,1,0,0,162,214
1,left,2,0,0,0,185,215
1,left,0,1,0,0,164,215
0,right,0,0,0,0,166,216
0,right,0,1,0,0,169,217
1,left,0,1,0,0,175,218
0,right,0,0,0,0,180,219
0,right,0,0,0,0,181,220
1,left,0,0,0,0,182,221
1,left,0,0,0,0,184,222
0,right,0,1,0,0,186,223
1,left,0,0,0,0,187,224
1,left,2,1,0,0,196,225
0,right,0,0,0,0,190,225
1,left,0,1,0,0,191,226
1,left,0,1,0,0,198,227
1,left,0,0,0,0,199,228
1,left,0,0,0,0,200,229
0,right,0,0,0,0,201,230
0,right,0,0,0,0,207,231
0,right,0,0,0,0,208,232
0,right,0,0,0,0,210,233
0,right,0,1,0,0,212,234
1,left,2,0,0,0,204,235
0,right,0,1,0,0,214,235
1,left,0,0,0,0,217,236
0,right,0,1,0,0,218,237
0,right,0,1,0,0,219,238
1,left,0,1,0,0,221,239
0,right,0,1,0,0,223,240
1,left,0,0,0,0,225,241
0,right,0,1,0,0,228,242
1,left,0,0,0,0,231,243
1,left,0,1,0,0,232,244
0,right,2,1,0,0,229,245
0,right,0,0,0,0,233,245
0,right,0,1,0,0,235,246
1,left,0,1,0,0,236,247
1,left,0,1,0,0,237,248
1,left,0,1,0,0,238,249
1,left,0,0,0,0,239,250
0,right,0,0,0,0,240,251
1,left,0,1,0,0,243,252
0,right,0,1,0,0,245,253
1,left,0,0,0,0,246,254
1,left,2,0,0,0,251,255
1,left,0,1,0,0,248,255
1,left,0,0,0,0,249,256
0,right,0,0,0,0,252,257
1,left,0,0,0,0,253,258
0,right,0,0,0,0,255,259
0,right,0,0,0,0,257,260
0,right,0,1,0,0,259,261
1,left,0,1,0,0,260,262
1,left,0,1,0,0,263,263
0,right,0,0,0,0,264,264
