cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
167,O_plasticbasket01a.jpg,objects,kuchyn,x,0,0,0,103,0
193,O_violin.jpg,objects,herni,x,0,0,0,103,1
174,O_scale01a.jpg,objects,elektronika,x,0,0,1,104,0
263,S_Artificial_zamek8.jpg,scenes,artificial,kulturni pamatka,1,0,0,104,0
285,S_Nature_jezero8.jpg,scenes,nature,hory-voda,1,0,0,104,0
22,F_EMWmale19-2neutral.jpg,faces,young,male,0,0,0,104,0
88,F_TSFWmale79-3neutral.jpg,faces,old,male,0,0,0,104,1
212,Ofv_cherries.jpg,fruit_vegetables,fruit,x,0,1,1,105,0
179,O_shovel02a.jpg,objects,nastroj,x,0,0,0,105,0
191,O_tweezers02a.jpg,objects,nastroj,x,0,0,0,105,0
66,F_TSFWmale22neutral.jpg,faces,young,male,0,0,0,105,0
307,S_Nature_reka2.jpg,scenes,nature,hory-voda,1,0,0,105,1
131,O_drill01b.jpg,objects,nastroj,x,0,0,1,106,0
304,S_Nature_pobrezi7.jpg,scenes,nature,hory-voda,1,0,0,106,0
45,F_TSFWfemale63-2neutral.jpg,faces,old,female,0,0,0,106,0
324,S_Nature_sopka.jpg,scenes,nature,hory,0,0,0,106,0
299,S_Nature_pobrezi2.jpg,scenes,nature,hory-voda,1,0,0,106,1
297,S_Nature_plato2.jpg,scenes,nature,hory,0,0,1,107,0
66,F_TSFWmale22neutral.jpg,faces,young,male,0,0,0,107,0
214,Ofv_lemon02.jpg,fruit_vegetables,fruit,x,0,1,0,107,0
23,F_EMWmale19-3neutral.jpg,faces,young,male,0,0,0,107,0
82,F_TSFWmale75-2neutral.jpg,faces,old,male,0,0,0,107,1
239,S_Artificial_elektrarna2.jpg,scenes,artificial,funkcni stavba,1,0,1,108,0
199,O_workingglove02c.jpg,objects,obleceni,x,0,0,0,108,0
223,Ofv_radish01.jpg,fruit_vegetables,vegetable,x,0,1,0,108,0
267,S_Artificial_zamek-jezero4.jpg,scenes,artificial,kulturni pamatka,1,0,0,108,0
253,S_Artificial_kupolaX.jpg,scenes,artificial,funkcni stavba,0,0,0,108,1
124,O_CD.jpg,objects,jine,x,0,0,1,109,0
257,S_Artificial_most2.jpg,scenes,artificial,funkcni stavba,1,0,0,109,0
84,F_TSFWmale75neutral.jpg,faces,old,male,0,0,0,109,0
223,Ofv_radish01.jpg,fruit_vegetables,vegetable,x,0,1,0,109,0
183,O_sunglasses04.jpg,objects,jine,x,0,0,0,109,1
269,S_Artificial_zamek-jezero6X.jpg,scenes,artificial,kulturni pamatka,1,0,1,110,0
171,O_razor01.jpg,objects,nastroj,x,0,0,0,110,0
151,O_knife01.jpg,objects,kuchyn,x,0,0,0,110,0
42,F_TSFWfemale52-2neutral.jpg,faces,old,female,0,0,0,110,0
83,F_TSFWmale75-3neutral.jpg,faces,old,male,0,0,0,110,1
132,O_drum.jpg,objects,herni,x,0,0,1,111,0
13,F_EMWfemale24-2neutral.jpg,faces,young,female,0,0,0,111,0
311,S_Nature_skala.jpg,scenes,nature,hory,0,0,0,111,0
142,O_grater01a.jpg,objects,kuchyn,x,0,0,0,111,0
211,Ofv_greenbeans01.jpg,fruit_vegetables,vegetable,x,0,1,0,111,1
98,F_WWmale22-4neutral.jpg,faces,young,male,0,0,1,112,0
150,O_iron01b.jpg,objects,elektronika,x,0,0,0,112,0
59,F_TSFWfemale68neutral.jpg,faces,old,female,0,0,0,112,0
129,O_cooler.jpg,objects,kuchyn,x,0,0,0,112,0
38,F_JWmale66neutral.jpg,faces,old,male,0,0,0,112,1
237,S_Artificial_domek8.jpg,scenes,artificial,budova,0,0,1,113,0
42,F_TSFWfemale52-2neutral.jpg,faces,old,female,0,0,0,113,0
244,S_Artificial_komin1.jpg,scenes,artificial,funkcni stavba,0,0,0,113,0
25,F_EMWmale20-2neutral.jpg,faces,young,male,0,0,0,113,0
83,F_TSFWmale75-3neutral.jpg,faces,old,male,0,0,0,113,1
219,Ofv_pepper04a.jpg,fruit_vegetables,vegetable,x,0,1,1,114,0
70,F_TSFWmale61neutral.jpg,faces,old,male,0,0,0,114,0
197,O_watch02a.jpg,objects,elektronika,x,0,0,0,114,0
23,F_EMWmale19-3neutral.jpg,faces,young,male,0,0,0,114,0
192,O_usbkey.jpg,objects,elektronika,x,0,0,0,114,1
165,O_paintroller01.jpg,objects,nastroj,x,0,0,1,115,0
67,F_TSFWmale23neutral.jpg,faces,young,male,0,0,0,115,0
29,F_EMWmale22-3neutral.jpg,faces,young,male,0,0,0,115,0
316,S_Nature_skala14.jpg,scenes,nature,hory,0,0,0,115,0
225,Ofv_watermelon.jpg,fruit_vegetables,fruit,x,0,1,0,115,1
306,S_Nature_reka.jpg,scenes,nature,vodni plocha,1,0,1,116,0
1,F_EMWfemale18-2neutral.jpg,faces,young,female,0,0,0,116,0
101,O_alarmclock.jpg,objects,elektronika,x,0,0,0,116,0
311,S_Nature_skala.jpg,scenes,nature,hory,0,0,0,116,0
27,F_EMWmale21-3neutral.jpg,faces,young,male,0,0,0,116,1
321,S_Nature_skala6.jpg,scenes,nature,hory,0,0,1,117,0
