cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
178,O_sewingmachine01a.jpg,objects,elektronika,x,0,0,0,48,0
220,Ofv_pickle.jpg,fruit_vegetables,vegetable,x,0,1,0,48,1
258,S_Artificial_orient4.jpg,scenes,artificial,chram,1,0,1,49,0
322,S_Nature_skala8x.jpg,scenes,nature,hory,0,0,0,49,0
261,S_Artificial_panelakX.jpg,scenes,artificial,budova,0,0,0,49,0
172,O_remotecontrol04.jpg,objects,elektronika,x,0,0,0,49,0
266,S_Artificial_zamek-jezero3.jpg,scenes,artificial,kulturni pamatka,1,0,0,49,1
248,S_Artificial_kostel5X.jpg,scenes,artificial,chram,0,0,1,50,0
77,F_TSFWmale70neutral.jpg,faces,old,male,0,0,0,50,0
154,O_laptop01a.jpg,objects,elektronika,x,0,0,0,50,0
64,F_TSFWfemale70neutral.jpg,faces,old,female,0,0,0,50,0
69,F_TSFWmale61-2neutral.jpg,faces,old,male,0,0,0,50,1
31,F_EMWmale23-2neutral.jpg,faces,young,male,0,0,1,51,0
92,F_WWfemale22-2neutral.jpg,faces,young,female,0,0,0,51,0
280,S_Nature_jezero2.jpg,scenes,nature,hory-voda,1,0,0,51,0
65,F_TSFWmale21neutral.jpg,faces,young,male,0,0,0,51,0
158,O_magnifyingglass01b.jpg,objects,jine,x,0,0,0,51,1
292,S_Nature_kanon5.jpg,scenes,nature,hory,0,0,1,52,0
314,S_Nature_skala12.jpg,scenes,nature,hory,0,0,0,52,0
16,F_EMWfemale27-4neutral.jpg,faces,young,female,0,0,0,52,0
120,O_candle08b.jpg,objects,jine,x,0,0,0,52,0
211,Ofv_greenbeans01.jpg,fruit_vegetables,vegetable,x,0,1,0,52,1
87,F_TSFWmale79-2neutral.jpg,faces,old,male,0,0,1,53,0
281,S_Nature_jezero3.jpg,scenes,nature,hory-voda,1,0,0,53,0
97,F_WWmale21-4neutral.jpg,faces,young,male,0,0,0,53,0
33,F_EMWmale23neutral.jpg,faces,young,male,0,0,0,53,0
265,S_Artificial_zamek-jezero2.jpg,scenes,artificial,kulturni pamatka,1,0,0,53,1
321,S_Nature_skala6.jpg,scenes,nature,hory,0,0,1,54,0
170,O_pylon.jpg,objects,x,x,0,0,0,54,0
175,O_scissors01.jpg,objects,nastroj,x,0,0,0,54,0
65,F_TSFWmale21neutral.jpg,faces,young,male,0,0,0,54,0
233,S_Artificial_budovaW.jpg,scenes,artificial,budova,0,0,0,54,1
91,F_WWfemale21-2neutral.jpg,faces,young,female,0,0,1,55,0
58,F_TSFWfemale68-4neutral.jpg,faces,old,female,0,0,0,55,0
315,S_Nature_skala13.jpg,scenes,nature,hory,0,0,0,55,0
113,O_bottleopener01.jpg,objects,kuchyn,x,0,0,0,55,0
172,O_remotecontrol04.jpg,objects,elektronika,x,0,0,0,55,1
209,Ofv_garlic01a.jpg,fruit_vegetables,vegetable,x,0,1,1,56,0
130,O_corkscrew03a.jpg,objects,kuchyn,x,0,0,0,56,0
183,O_sunglasses04.jpg,objects,jine,x,0,0,0,56,0
226,S_Artificial_akvadukt2.jpg,scenes,artificial,funkcni stavba,0,0,0,56,0
100,F_WWmale29neutral.jpg,faces,young,male,0,0,0,56,1
140,O_garlicpress02a.jpg,objects,kuchyn,x,0,0,1,57,0
112,O_bottlecap.jpg,objects,kuchyn,x,0,0,0,57,0
278,S_Nature_hora.jpg,scenes,nature,hory,0,0,0,57,0
61,F_TSFWfemale69-3neutral.jpg,faces,old,female,0,0,0,57,0
29,F_EMWmale22-3neutral.jpg,faces,young,male,0,0,0,57,1
250,S_Artificial_kostel-jezero.jpg,scenes,artificial,chram,1,0,1,58,0
113,O_bottleopener01.jpg,objects,kuchyn,x,0,0,0,58,0
21,F_EMWfemale34neutral.jpg,faces,young,female,0,0,0,58,0
44,F_TSFWfemale62neutral.jpg,faces,old,female,0,0,0,58,0
124,O_CD.jpg,objects,jine,x,0,0,0,58,1
132,O_drum.jpg,objects,herni,x,0,0,1,59,0
103,O_bag.jpg,objects,denni,x,0,0,0,59,0
125,O_coffeepot03a.jpg,objects,kuchyn,x,0,0,0,59,0
160,O_measuringtape01.jpg,objects,nastroj,x,0,0,0,59,0
227,S_Artificial_akvadukt3.jpg,scenes,artificial,funkcni stavba,0,0,0,59,1
225,Ofv_watermelon.jpg,fruit_vegetables,fruit,x,0,1,1,60,0
88,F_TSFWmale79-3neutral.jpg,faces,old,male,0,0,0,60,0
92,F_WWfemale22-2neutral.jpg,faces,young,female,0,0,0,60,0
320,S_Nature_skala5.jpg,scenes,nature,hory,0,0,0,60,0
148,O_highheelshoe01.jpg,objects,obleceni,x,0,0,0,60,1
37,F_EMWmale52neutral.jpg,faces,old,male,0,0,1,61,0
143,O_hairclip03.jpg,objects,jine,x,0,0,0,61,0
308,S_Nature_sady2XXXX.jpg,scenes,nature,poust-pole,0,0,0,61,0
115,O_boxcutter03a.jpg,objects,nastroj,x,0,0,0,61,0
8,F_EMWfemale21-5neutral.jpg,faces,young,female,0,0,0,61,1
99,F_WWmale23-5neutral.jpg,faces,young,male,0,0,1,62,0
254,S_Artificial_majak2.jpg,scenes,artificial,funkcni stavba,0,0,0,62,0
264,S_Artificial_zamek-jezero.jpg,scenes,artificial,kulturni pamatka,1,0,0,62,0
118,O_calculator01.jpg,objects,elektronika,x,0,0,0,62,0
139,O_fryingpan02a.jpg,objects,kuchyn,x,0,0,0,62,1
62,F_TSFWfemale69-4neutral.jpg,faces,old,female,0,0,1,63,0
221,Ofv_pineapple01a.jpg,fruit_vegetables,fruit,x,0,1,0,63,0
46,F_TSFWfemale63-3neutral.jpg,faces,old,female,0,0,0,63,0
