opakovani obrazku,cisloobrazku,obrazek,corrans,pauza
1,4,ovoce-jablko.jpg,1,0
3,13,P2181355.JPG,0,0
3,3,m4031.jpg,0,1
1,7,P2181334.jpg,0,0
2,8,f4011.jpg,0,0
5,13,prague_castle_fake_1000.jpg,0,0
5,4,f4030.jpg,0,0
3,20,ceska-krajina-03-hory-lesy-priroda.jpg,0,1
2,5,f4008.jpg,0,0
1,12,f4029.jpg,0,0
4,16,P2181363.JPG,0,0
2,5,vatican_fake_1000.JPG,0,0
2,11,rio_de_janiero_jesus_view_1000.jpg,0,1
2,20,f4018.jpg,0,0
3,1,ovoce-pomeranc.jpg,1,0
5,17,m4079.jpg,0,0
4,17,great_wall_of_china_fake_1000.JPG,0,0
3,16,P2181363.JPG,0,1
1,8,sydney_opera_house_fake_1000.jpg,0,0
3,15,P2181360.JPG,0,0
5,20,P2181376.JPG,0,0
3,5,f4008.jpg,0,0
5,18,P2181371.JPG,0,1
2,17,m4079.jpg,0,0
3,1,bratislava_castle_1000.jpg,0,0
5,5,P2181326.jpg,0,0
2,2,P2181315.JPG,0,0
